url,price_etb,bedrooms,property_type,size_m2,sub_city,furnished
https://jiji.com.et/bole/houses-apartments-for-rent/furnished-3bdrm-villa-in-bole-for-rent-5wCVVby0u4lzY68uxjp2EodO.html,100000,3,Villa,,Bole,True
https://jiji.com.et/bole/houses-apartments-for-rent/furnished-3bdrm-apartment-in-bole-for-rent-B3JDbjQ1vzsvSTkPmTD1bcmb.html,200000,3,Apartment,,Bole,True
https://jiji.com.et/bole/houses-apartments-for-rent/furnished-5bdrm-villa-in-bole-for-rent-wRNCIXvw7c5hltH2XnkRy3tq.html,250000,5,Villa,,Bole,True
https://jiji.com.et/bole/houses-apartments-for-rent/3bdrm-villa-in-bole-for-rent-yYfMYmNuoqzzfIzOm0qPqOx.html,250000,3,Villa,,Bole,False
https://jiji.com.et/bole/houses-apartments-for-rent/furnished-2bdrm-apartment-in-bole-for-rent-puGdOF5csNVaRXAJoThWE7U.html,80000,2,Apartment,,Bole,True
https://jiji.com.et/bole/houses-apartments-for-rent/furnished-3bdrm-villa-in-bole-for-rent-nuA1DZ3Mc3hpIVsWPhi00XKd.html,150000,3,Villa,,Bole,False
https://jiji.com.et/bole/houses-apartments-for-rent/furnished-3bdrm-apartment-in-bole-for-rent-iH8tHdk6Vpv5CcS9ZmbqBQJM.html,130000,3,Apartment,,Bole,True
https://jiji.com.et/bole/houses-apartments-for-rent/furnished-3bdrm-villa-in-bole-for-rent-cZRMG48ujf6sDuknWeoyeKyw.html,100000,3,Villa,,Bole,True
https://jiji.com.et/bole/houses-apartments-for-rent/3bdrm-apartment-in-bole-for-rent-raoW1aI6hAP00tEy4eEBqLcQ.html,80000,3,Apartment,220,Bole,False
https://jiji.com.et/bole/houses-apartments-for-rent/furnished-studio-apartment-in-bole-for-rent-nBX87K28IyssJvy2jNw5vHMn.html,80000,0,Apartment,,Bole,True
https://jiji.com.et/bole/houses-apartments-for-rent/furnished-2bdrm-apartment-in-bole-for-rent-A4fZ87o64pnpwKz4S9xbTbez.html,170000,2,Apartment,,Bole,True
https://jiji.com.et/bole/houses-apartments-for-rent/furnished-1bdrm-apartment-in-samuel-bole-for-rent-6bQXIYKdN6sWCed6Ef2H9Gad.html,100000,1,Apartment,,Bole,True
